food_id,desc,weight_basis,ced,ghg
0,"Beet, garden, roots",weight of roots; juice,1.221,0.194
1,"Beet, sugar",dry weight of sugar (sucrose),4.574,0.391
2,"Beet, sugar, molasses",weight of molasses,3.476,0.288
3,Burdock,weight of roots,1.891,0.284
4,Carrot,"weight of roots, with or without peel, excluding tops",1.326,0.092
5,"Carrot, juice",weight of juice at single strength (or standard dilution),6.608,1.071
6,"Chicory, roots",weight of roots,0.154,0.05
7,"Ginseng, dried",dry weight of roots,0,0.87
8,Horseradish,"weight of root, ground",1.422,0.213
9,Parsnip,weight of roots with or without peel,1.621,0.243
10,"Radish, roots",weight of roots,1.578,0.237
11,"Radish, Oriental, roots",weight of roots,1.806,0.271
12,Rutabaga,weight of roots; excluding tops,1.678,0.252
13,"Turnip, roots",weight of roots,1.749,0.498
14,"Arrowroot, flour",dry weight of flour,0.625,0.079
15,"Artichoke, Jerusalem",edible portion of tuber,4.028,0.544
16,Cassava,weight of root; dry tapioca,0.625,0.079
17,"Dasheen, corm",weight of the corm,1.422,0.213
18,Ginger,weight of roots; excluding peel,1.536,0.95
19,"Ginger, dried",dry weight of roots; excluding peel,6.513,0.977
20,"Potato, chips","weight of potato from chip or stick, with or without peel",19.75,1.545
21,"Potato, dry (granules/ flakes)",dry weight of granules or flakes,9.7,1.309
22,"Potato, flour",dry weight of flour or potato starch,6.631,0.953
23,"Potato, tuber, w/peel",weight of tuber;  including peel,1.611,0.217
24,"Potato, tuber, w/o peel",weight of tuber;  excluding peel,2.143,0.216
25,Sweet potato,"weight of roots, with or without peel; juice",2.24,0.302
26,"Tanier, corm",weight of corm,1.422,0.213
27,Turmeric,weight of roots,1.422,0.213
28,"Yam, true",weight of roots,1.869,1.021
29,Yam bean,weight of roots,1.756,0.237
30,"Beet, garden, tops",weight of leaves,4.593,0.332
31,"Chicory, tops",weight of leaves,1.215,0.064
32,"Dasheen, leaves",weight of the leaves,2.566,0.186
33,"Garlic, bulb",dry weight of bulb; excluding skin (outer scales),2.932,0.743
34,"Onion, bulb",weight of bulb; excluding outer skin,2.83,0.269
35,"Onion, bulb, dried",dry weight of bulb; excluding outer skin,22.152,2.102
36,"Shallot, bulb",weight of bulb; excluding skin,2.896,0.275
37,"Chive, fresh leaves",weight of fresh leaves,1.551,0.221
